headline,posted_time,theme
"Iš kur gauti pedagogų? 13 šimtukininkų pasirinko mokytojo kelią, bet kiti skaičiai – kritiški",2024-01-31 05:30:00,Lietuvoje
LRT tyrimas. Grėsmė nacionaliniam saugumui: Pakso žentui – nemalonumai dėl pavojingų ryšių,2024-01-30 05:30:00,LRT tyrimai
Kilti į Paryžių norinti Kilty didžiausią svajonę jau išpildė: niekas neprilygs vaiko gimimo stebuklui,2024-01-30 05:30:00,Sportas
Lietuvių kurtas lazeris pripažintas geriausiu pasaulyje,2024-02-01 11:01:00,Mokslas ir IT
Lietuva įžengė į Silicio slėnį – Kalifornijoje atidarytas inovacijų centras,2024-02-01 09:30:00,Verslas
Operacijos kosmose? Į TKS išskraidintas iš Žemės valdomas chirurginis robotas,2024-01-31 21:52:00,Mokslas ir IT
"SAM: Onkologinių ligų ankstyvoji diagnostika Lietuvoje neefektyvi, dalis pacientų lieka už borto",2024-02-01 12:10:00,Sveikata
Atėjo laikas pasitikrinti virškinimo sistemą: kokių tyrimų gali prireikti?,2024-02-01 09:37:00,Sveikata
Užsitęsęs kosulys: kada reikia sunerimti?,2024-01-31 19:44:00,Sveikata
Živilė Kubilienė. Ko dar turi išmokti Lietuvos pilietinė visuomenė?,2024-02-01 08:28:00,Pozicija
Renata Dumbravienė. Kieno miškas: savininko ar visuomenės?,2024-01-31 15:00:00,Pozicija
Tomas Bernotas. Rinkimų metai Lietuvoje ir pasaulyje: aplinkosauga ant politikos šachmatų lentos,2024-01-31 11:18:00,Pozicija
Liudas Mažylis. ES dėmesys karui Ukrainoje: iššūkiai bei proveržiai,2024-01-31 08:05:00,Pozicija
"Jakštas: neturiu signalų, kad nusikels Nacionalinio stadiono pastatymo terminas",2024-02-01 09:01:00,Verslas
„BaltCap“ partneris: Nacionalinio stadiono projektas gautų paskolą tik indeksavus kainą,2024-02-01 09:09:00,Verslas
"Peržiūrėti biudžetą, skolintis iš gyventojų, o gal didinti PVM: iš kur gauti pinigų gynybai?",2024-01-31 18:01:00,Verslas
Šiaulietis kaltinamas pasisavinęs ir iššvaistęs per 400 tūkst. eurų suaukotų lėšų ir turto,2024-02-01 12:04:00,Verslas
Nacionalinio stadiono projektui „BaltCap“ ieško investuotojo,2024-01-31 21:53:00,Verslas
„Biržos laikmatis“: FED nežada palūkanų mažinimo artimiausiu metu,2024-02-01 12:43:00,Verslas
Saulius Kalašnikovas. Privatumas ar saugumas: kodėl kalbant apie vaizdo stebėjimo kameras tai yra netikra dilema?,2024-02-01 12:40:00,Verslo pozicija
"Giedrė Misiukonienė. Visiškas nuotolinis darbas traukiasi, o darbostogos?",2024-02-01 09:29:00,Verslo pozicija
"Vaiva Petrylė. Mokesčių poveikis ekonomikai – kaip pasiekti, kad ir vilkas būtų sotus, ir avis sveika?",2024-02-01 09:23:00,Verslo pozicija
Raul Eamets. Ką šie metai atneš ekonomikai?,2024-01-31 10:29:00,Verslo pozicija
Siuntą į namus užsisakiusi neregė Eglė liko nieko nepešusi: kurjeris nukeliavo tiesiai prie paštomato,2024-01-28 19:38:00,Verslas
Pirkėją papiktino prie parduotuvės palikti gyventojų automobiliai: „Vietoj apsipirkimo tenka sukti ratus po aikštelę“,2024-01-28 10:27:00,Eismas
"Iš vaikų į mokytojus skrieja vazonai, kėdės ir stalai: pedagogas tikina – sistema mus išnaudoja iki išsekimo",2024-01-25 19:53:00,LRT girdi (TV)
Pagalbos šauksmas iš Utenos rajono – šeimos mišką iškirto jiems nežinant: įtarimai vagyste pareikšti vietiniam politikui,2024-01-25 19:53:00,LRT girdi (TV)
Svetimu automobiliu džiaugėsi neilgai: Kauno pareigūnai vagį sulaikė nepraėjus nė valandai,2024-02-01 12:08:00,Eismas
Policija papasakojo savo planus – kokie reidai vairuotojų laukia vasarį?,2024-02-01 09:52:00,Eismas
Marijampolėje bus įrengtos 22 elektromobilių įkrovimo prieigos,2024-02-01 09:16:00,Eismas
„Volkswagen“ dviem dienoms uždarys gamyklą Emdene,2024-02-01 09:03:00,Eismas
Zuckerbergas JAV Kongrese atsiprašė dėl vaikams socialiniuose tinkluose daromos žalos,2024-02-01 09:12:00,Mokslas ir IT
Toksiškos medžiagos jau aptinkamos ir žmonių kraujyje – auga spaudimas uždrausti pavojų keliančius junginius,2024-01-31 23:02:00,Mokslas ir IT
"Ar tikrai neverta rūšiuoti atliekų, nes galiausiai jos atsiduria vienoje vietoje ir susimaišo?",2024-01-25 19:20:00,Lietuvoje
"Kita oranžinių maišelių starto pusė: ragina neimti, sklando melaginga informacija dėl gresiančių baudų ir sąskaitų",2024-01-16 19:40:00,Lietuvoje
Ar teisūs sąmokslų ieškotojai – kiek vaikų kasmet dingsta Lietuvoje?,2024-01-13 12:02:00,Lietuvoje
Estijos teismo rūmų viduje nupieštas Rusijos agresijos simbolis „Z“,2024-02-01 11:41:00,Pasaulyje
Izraelio ir „Hamas“ karas. Izraelis kaltina „Hamas“ per spalio 7-osios išpuolį naudojus seksualinį smurtą,2024-02-01 06:30:00,Pasaulyje
Protestuotojus Baltarusijoje daužęs milicijos majoras Lietuvoje – langų montuotojas,2024-01-31 17:55:00,Pasaulyje
Į pergales Monte Karlo ralyje vežantį „Jaguar“ Karolis Raišys rado Švedijos muziejuje,2024-02-01 10:11:00,Sportas
Rezultatu 44:14 negalėjęs patikėti Dimša apie naują Trinchieri „Žalgirį“: viskas absoliučiai pasikeitė,2024-02-01 09:04:00,Sportas
Sabonio trigubas dviženklis „Kings“ nuo pralaimėjimo neišgelbėjo,2024-02-01 08:06:00,Sportas
Hjustone – vienos iš rezultatyviausių Valančiūno sezono rungtynių,2024-02-01 07:44:00,Sportas
"Puolime žibėjęs, bet ir savo darbu gynyboje likęs patenkintas Manekas: esame labai gerame taške",2024-02-01 07:26:00,Sportas
Dėmesys Lietuvos kino operatoriams: skelbia „Ąžuolo“ apdovanojimų atranką,2024-02-01 12:34:00,Kultūra
Pakilti ar grimzti į prarają: priklausomybių vaizdavimas operoje „Hofmano istorijos“,2024-02-01 10:30:00,Kultūra
Jaunimo teatre – režisieriaus Igno Jonyno spektaklio „Sūnus“ premjera,2024-02-01 09:30:00,Kultūra
"Kairys apie Klaipėdos pašto pastatą: savivaldybę regėjome kaip partnerę, dabar matau tik pėdų mėtymą",2024-01-31 20:58:00,Kultūra
Aušra Kaminskaitė. Kultūros žiniasklaida prie orumo aukuro,2024-01-31 19:18:00,Kultūra
Meno erdvėje „Editorial“ atidaroma Gerdos Paliušytės personalinė paroda „Lūpų dažai“,2024-01-31 17:30:00,Kultūra
Fotografijos muziejuje – Aleksandro Ostašenkovo paroda „Neįvardyto laiko portretas. 1968–2024“,2024-01-31 16:30:00,Kultūra
"Specialioji pedagogė Justė: nėra sunkų vaikų, man jie visi nuostabūs",2024-02-01 12:45:00,Gyvenimas
"Sveikatai palankių riebalų ir baltymų turintys anakardžiai tinka ir lieknėjantiems, ir saugantiems širdį",2024-02-01 10:29:00,Gyvenimas
Prasidedančioje medžių „Eurovizijoje“ – 200 metų amžiaus kaštonas iš Basanavičiaus gimtinės,2024-02-01 10:07:00,Gyvenimas
Alecas Baldwinas pareiškė esąs nekaltas dėl nužudymo filmavimo aikštelėje,2024-02-01 11:23:00,Veidai
Karą Ukrainoje kritikavusi rusų roko grupė išvengė deportacijos į Rusiją,2024-02-01 08:12:00,Veidai
Celine Dion apie kovą su reta liga atvirai papasakojo dokumentiniame filme,2024-01-31 14:15:00,Veidai
Po M.A.M.A. scenoje skambėjusių užuominų apie plagiatą kaista aistros: pasisakė žinomi dainų kūrėjai,2024-02-01 12:38:00,Muzika
Palangoje – festivalis „OLE” su Lietuvos ir užsienio elektroninės muzikos žvaigždėmis,2024-02-01 10:04:00,Muzika
Giedrius Leškevičius pristato dainą „Mano galaktika“: „Kiekviena žiema kažkada baigiasi“,2024-02-01 09:56:00,Muzika
"LRT tyrimas. Iš Kauno į Rusiją toliau keliauja svarbi įranga: pinigai iš ofšorų, tiekimas per tarpininkus",2024-01-22 05:30:00,LRT tyrimai
Nauja tėvyne Švaniui tapusi Rusija jam yra atlaidi,2023-12-19 05:30:00,LRT tyrimai
"LRT tyrimas. „Nieko nedarysi, gausi po du tūkstančius“: kita suverenų pasaulio pusė",2023-11-30 05:30:00,LRT tyrimai
LRT PROTOTO. Kuriame mieste teka upė Temzė?,2024-02-01 08:00:00,Tavo LRT
Šeštadienį ekranus sudrebins ketvirtasis EUROVIZIJA.LT pusfinalis,2024-01-31 13:30:00,Tavo LRT
Pažinti Lietuvos regionus kvietusi LRT laida „Vasara prie piliakalnio“ įvertinta turizmo apdovanojimuose,2024-01-31 11:30:00,Tavo LRT
"Nauja portalo LRT.lt rubrika – ieškantiems parodų, koncertų ir spektaklių Europoje rekomendacijų",2024-01-31 10:00:00,Tavo LRT
Iniciatyva „Arbatos pertrauka“ ragina šalies mokyklas išbandyti geros nuotaikos ir bendrystės vitaminą,2024-01-26 10:28:00,Lietuvoje
Iniciatyvų metu gimę „Nėštumo kalendorius“ ir „Kūdikio dienoraštis“ – edukaciniai leidiniai šiuolaikiniams tėvams,2024-01-19 14:00:00,Lietuvoje
Marijampolės mokyklos konkursas skatina mokinius prisidėti prie žalios Lietuvos idėjų,2024-01-15 09:57:00,Lietuvoje
Projektas „Vaikų svajonės“ per 13 veiklos metų įgyvendino 123 561 vaikų norą,2024-01-05 11:41:00,Lietuvoje
"Lietuvos 2023 m. geriausiu futbolininku išrinktas Lasickas, futbolininke – Vaitukaitytė",2024-01-30 16:02:00,Fotoreportažai
Įteikti „Auksinio fenikso“ apdovanojimai – šventėje dalyvavo garbingi svečiai,2024-01-30 10:57:00,Fotoreportažai
Ant raudonojo M.A.M.A. kilimo – pramogų pasaulio žvaigždžių stiliaus puota,2024-01-27 17:37:00,Fotoreportažai
Ypatinga dovana 701-ojo sostinės gimtadienio proga: miestą užliejo šeštasis Vilniaus šviesų festivalis,2024-01-27 10:50:00,Fotoreportažai
Ūkininkų protestas Vilniuje,2024-01-26 15:01:00,Fotoreportažai
Naktį įsisiautėjusi žiema šalį užklojo storu sniego patalu,2024-01-16 13:30:00,Fotoreportažai
"Lietuvos sporto apdovanojimuose triumfavo Banevič, Alekna tapo geriausiu antrą kartą paeiliui",2023-12-22 14:58:00,Fotoreportažai
"Sostinė jau dabinasi šventėms: išdygo pirmosios eglutės, miestas pasipuošė žaisliukais",2023-11-17 18:33:00,Fotoreportažai
How Lithuanian tech firm is reviving sleepy regional town,2024-02-01 08:00:00,News
Militia major who beat protesters in Belarus works as window fitter in Lithuania,2024-02-01 11:16:00,News
Lithuanian president critical of Hungary’s proposal for annual vote on Ukraine aid,2024-02-01 12:34:00,News
Vilnius National Stadium in the balance as developer seeks outside investors – media,2024-02-01 10:11:00,News
"В Паневежисе украинки собираются в женских клубах: ""Мы живем одной ногой здесь, а второй - в Украине""",2024-02-01 12:38:00,Новости
"""Маркер колониальной эпохи"": в Литве предлагают перенести памятник Пушкину",2024-02-01 08:39:00,Новости
"Майор милиции, подавлявший акции протеста в Беларуси, трудоустроился в Литве",2024-02-01 11:12:00,Новости
Литовское отделение МОМ выделит украинским беженцам бизнес-субсидии,2024-02-01 08:42:00,Новости
Лидеры стран ЕС заявили о поддержке Украины в борьбе с агрессией РФ,2024-02-01 11:38:00,Новости
ДГБ: Получившие гражданство в порядке исключения не представляют угрозу безопасности,2024-02-01 12:11:00,Новости
Литва открыла в Силиконовой долине США центр инноваций,2024-02-01 10:19:00,Новости
Ministerstwo Oświaty zapowiada nowe podręczniki dla szkół mniejszości narodowych,2024-02-01 12:33:00,Wiadomości
1 lutego rozpoczyna się zimowa rekrutacja do szkół zawodowych,2024-02-01 10:55:00,Wiadomości
"Pędzlem i piórem, czyli polska kultura w polskich domach",2024-02-01 08:27:00,Wiadomości
Szwecja w NATO: Dziś kluczowe spotkanie,2024-02-01 11:23:00,Wiadomości
Литовське відділення Міжнародної організації міграції виділить українським біженцям бізнес-субсидії,2024-02-01 09:43:00,Новини
Чи віддасть Німеччина Зеленському гроші біженців?,2024-02-01 09:08:00,Новини
Понад 200 українців повернулися в Україну з російського полону,2024-01-31 16:27:00,Новини
У Київ приїхала заступниця держсекретаря США Нуланд,2024-01-31 16:22:00,Новини
10–12. Pokalbis. LRT ieško sprendimų: kokias įtraukiojo ugdymo priemones gali ir ketina pritaikyti Lietuva?,2024-01-11 18:00:00,10–12. Pokalbis
"Mokykla, kur amsi šuo ir pridygę namukų: į įtraukųjį ugdymą reikia žiūrėti ne kaip į kliūtį, o kaip į galimybę",2024-01-10 05:30:00,Lietuvoje
Islandijos mokyklos prisitaiko prie kiekvieno: į vaikus su specialiaisiais poreikiais žiūrime kaip į turinčius supergalią,2024-01-09 17:51:00,Pasaulyje
"10–12. Pokalbis. LRT ieško sprendimų: Islandijos mokykloje vienodai laukiami visi, ir turintys specialiųjų poreikių, vaikai",2024-01-09 13:00:00,10–12. Pokalbis
